Alpha 3 Code,Year,Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),Mean NBE (TgCO2),Mean NCE (TgCO2),Mean FUR
AZE,2020,-0.578408,1.10105,3.0528,0.91584,36.0329,2.77628,1.52,13.696026074999999,16.1704225,52.20335,0.21
AZE,mean,-0.578408,1.10105,3.0528,0.91584,36.6562,2.76543,3.19,4.2755875,6.7499825,43.406175000000005,0.21
BDI,2015,-0.175039,0.29635,0.0,0.0,0.263893,0.0396257,0.59,3.431755,3.256715,3.52061,0.225
BDI,2016,-0.206379,0.359029,0.0,0.0,0.271667,0.0448103,0.48,3.947845,3.7414657499999997,4.013135,0.225
BDI,2017,-0.196608,0.339489,0.0,0.0,0.283484,0.053328,1.3,2.9409815,2.7443720000000003,3.0278605,0.225
BDI,2018,-0.216581,0.379434,0.0,0.0,0.292443,0.053328,-0.21,-0.39040074999999996,-0.6069815000000001,-0.31453675000000003,0.225
BDI,2019,-0.215435,0.377143,0.0,0.0,0.300316,0.0396257,0.21,2.1186024999999997,1.90317,2.2034825,0.225
BDI,2020,-0.202008,0.350289,0.0,0.0,0.277711,0.0396257,0.06,0.09757770000000002,-0.10442925000000003,0.17328125,0.225
BDI,mean,-0.202008,0.350289,0.0,0.0,0.281586,0.0450572,0.67,1.8203425,1.61833275,1.8999199999999998,0.225
BEL,2015,-1.1873,1.53533,13.9796,4.19387,74.8158,1.94209,-0.55,-20.748175,-7.9558725,66.859925,0.2775
BEL,2016,-1.14125,1.44325,13.9796,4.19387,74.0152,1.89039,-0.28,-21.475975,-8.637675,65.37745,0.2775
BEL,2017,-1.0551,1.27094,13.9796,4.19387,74.0005,1.90095,-0.28,-19.340375,-6.415875,67.584625,0.2775
BEL,2018,-1.17013,1.50099,13.9796,4.19387,74.9816,1.90095,-0.83,-20.220625,-7.4112025,67.57037499999998,0.2775
BEL,2019,-0.856964,0.874665,13.9796,4.19387,74.6851,1.94209,1.04,-20.544800000000002,-7.422165,67.2629,0.2775
BEL,2020,-1.08215,1.32503,13.9796,4.19387,69.3103,1.94209,0.93,-23.440725,-10.5433225,58.766975,0.2775
BEL,mean,-1.08215,1.32503,13.9796,4.19387,73.6347,1.91976,0.13,-21.408575,-8.51115,65.12357500000002,0.2775
BEN,2015,-2.26894,0.753038,1.9807,0.594211,2.14926,0.598829,1.75,42.728325,42.4400925,44.5893325,0.2425
BEN,2016,-2.73808,0.185255,1.9807,0.594211,2.21487,0.664008,1.7,60.744550000000004,59.98717499999999,62.20205,0.2425
BEN,2017,-2.63326,0.0243914,1.9807,0.594211,2.31028,0.73363,2.49,48.691975,48.03942500000001,50.3497,0.2425
BEN,2018,-2.48702,0.316877,1.9807,0.594211,2.38076,0.73363,1.23,27.125,26.618699999999997,28.9995,0.2425
BEN,2019,-2.61514,0.0606249,1.9807,0.594211,2.44214,0.598829,2.49,35.334582499999996,34.7001475,37.1422825,0.2425
BEN,2020,-2.54849,0.268037,1.9807,0.594211,2.20966,0.598829,1.09,42.108245000000004,41.5404475,43.7501118,0.2425
BEN,mean,-2.54849,0.268037,1.9807,0.594211,2.28449,0.654626,1.77,45.500164999999996,44.932395,47.2168675,0.2425
BFA,2015,-6.87516,8.80566,0.895204,0.268561,2.67378,0.3333,1.12,60.8204975,54.8405575,57.514328000000006,0.24
BFA,2016,-11.5318,18.1189,0.895204,0.268561,2.75277,0.341818,1.58,90.775725,80.139175,82.892075,0.24
BFA,2017,-10.2777,15.6108,0.895204,0.268561,2.87426,0.398108,2.26,73.78375,64.4012125,67.2755525,0.24
