

year,riverEmissions,River unc (TgCO2),woodCropEmissions,Wood+Crop unc (TgCO2),fossilFuelEmissions,FF unc (TgCO2),Z-statistic,Mean dC_loss (TgCO2),netBiosphereEmissions,netCarbonEmissions,Mean FUR,isoa2,cropLand,grazingLand,forestLand,fishingGround,builtupLand,carbon
2017,0.24258147385267498,-0.07531234868998747,0.43049159764448824,0.4304927736780263,-0.28139983016308673,-0.1788067498266042,-0.62316842339589,-0.01924824033517178,0.06610056950069233,-0.29658551249393794,-0.13020004888248096,BD,0.41592919327744915,-0.3441643799966469,0.08455941611268551,0.2790257832219008,1.1296524437402935,-0.027387927755978425
2018,0.2528461610432506,-0.007198785751914504,0.43049159764448824,0.4304927736780263,-0.2750935472643448,-0.1788067498266042,-0.9376946319424849,-0.03163537947074211,0.05616901757622321,-0.2960343362176535,-0.13020004888248096,BD,0.37444487347009825,-0.3398210688191538,0.07818648088739871,0.32295137087604064,1.1149829760990575,-0.007682923634564883
2019,0.2507821750413969,-0.020891653350071263,0.43049159764448824,0.4304927736780263,-0.2559140734422533,-0.1999434539923109,-0.9489277108191491,-0.016506041825954644,0.07042910368943112,-0.26228421193294943,-0.13020004888248096,BD,0.36835118754220264,-0.339629564112118,0.05180272818027693,0.3304766052163031,1.0994942678748256,-0.014288892872263545
2020,0.24889344211953443,-0.033427911314965704,0.43049159764448824,0.4304927736780263,-0.2642684678143302,-0.1999434539923109,-0.8590630798058363,-0.0018778125602908241,0.08423847364340178,-0.26254336503477804,-0.13020004888248096,BD,0.3924787037915918,-0.34145112991806864,0.057440574637448505,0.3319973282922447,1.1426193735257768,-0.043932676373233566
2015,0.33623862472479227,-0.3197731711681617,-0.24295275456146903,-0.2429529053065691,-0.31939936182519285,-0.3452877224361349,-1.6790778378023166,-0.0666614033374504,-0.016302222231920228,-0.40251433413364346,-0.06497295868110815,BG,-0.26545479375301834,-0.30365110965713665,-0.26342579995239734,-0.4312964518433901,-0.2728919010384261,-0.22699119889427996
2016,0.3423701966147476,-0.3604605491741131,-0.24295275456146903,-0.2429529053065691,-0.32239655077264895,-0.35133544273620415,-0.29740913597263074,-0.04322133428205536,0.00768828988185108,-0.38887587381851024,-0.06497295868110815,BG,-0.26348394915136825,-0.2974707488978895,-0.26021484578610055,-0.4258667734601629,-0.2675275354999259,-0.22881730574815268
2017,0.3433918077756098,-0.3672396720846983,-0.24295275456146903,-0.2429529053065691,-0.31955320145908467,-0.34602130564222,-1.5555139701590113,-0.026219602020599732,0.024392564681136344,-0.3733479187716429,-0.06497295868110815,BG,-0.23489431830880816,-0.2938323424193065,-0.2640029421047468,-0.42987247713591553,-0.25813072648432545,-0.22332372426337294
2018,0.34777713511743485,-0.3963394648358791,-0.24295275456146903,-0.2429529053065691,-0.3234671467103639,-0.34602130564222,0.6124702530371623,-0.020921179882240706,0.030425306091088827,-0.3737846575931625,-0.06497295868110815,BG,-0.23915573554128652,-0.3015968250504006,-0.25494492952931547,-0.4302363793585459,-0.2559260500302962,-0.22809933576117558
2019,0.34222637479366785,-0.3595061882198913,-0.24295275456146903,-0.2429529053065691,-0.32561507692165104,-0.3452877224361349,0.477673306517193,-0.02719395455328357,0.023210138144556955,-0.38161706145588337,-0.06497295868110815,BG,-0.25038624763102546,-0.28460204447369425,-0.25815716172812475,-0.430759511835643,-0.24867461896824938,-0.22798890760013674
2020,0.34240086590374613,-0.3606637458938365,-0.24295275456146903,-0.2429529053065691,-0.32949464523915045,-0.3452877224361349,-1.240987761612416,-0.039996738314210245,0.010823264495244693,-0.39529832272743537,-0.06497295868110815,BG,-0.2907491492754565,-0.30203340884819485,-0.2690035116178848,-0.4234914170721347,-0.27607799121712767,-0.23903046328250135
2015,0.3718368494502755,-0.43370851084318746,0.06705324996141755,0.06705334112023474,-0.36862813603784544,-0.43369386426705586,-0.7691984487925234,0.04309350751633732,0.12295396219424087,-0.36229084201879375,-1.460832688990491,BS,-0.3944313231450136,-0.38706653409104846,-0.3715957130389853,-0.46949821926086094,-0.3727546385519273,-0.3103477155026132
2016,0.37018598448600554,-0.42275380594703277,0.06705324996141755,0.06705334112023474,-0.3685020492109586,-0.43440020497689635,0.18561325572392598,0.036752537600750444,0.11646565722539716,-0.36681679951633844,-1.460832688990491,BS,-0.39491264357753786,-0.39022769431510335,-0.37029611596656503,-0.4692046924158989,-0.3727210194021337,-0.31021033316914776
