Country Name,Country Code,2015,2016,2017,2018,2019,2020
Djibouti,DJI,1006259.0,1023261.0,1040233.0,1057198.0,1073994.0,1090156.0
Dominica,DMA,70007.0,70075.0,70403.0,70823.0,71428.0,71995.0
Denmark,DNK,5683483.0,5728010.0,5764980.0,5793636.0,5814422.0,5831404.0
Dominican Republic,DOM,10405832.0,10527592.0,10647244.0,10765531.0,10881882.0,10999664.0
Algeria,DZA,39543154.0,40339329.0,41136546.0,41927007.0,42705368.0,43451666.0
East Asia & Pacific (excluding high income),EAP,2049740052.0,2065155186.0,2080901482.0,2094506990.0,2106374009.0,2116360715.0
Early-demographic dividend,EAR,3165214886.0,3208369547.0,3250752755.0,3292896609.0,3334561751.0,3374383528.0
East Asia & Pacific,EAS,2294507020.0,2310721864.0,2327132966.0,2341383691.0,2353856866.0,2363934334.0
Europe & Central Asia (excluding high income),ECA,238848390.0,240976831.0,243006453.0,245052675.0,247195931.0,248913167.0
Europe & Central Asia,ECS,907094808.0,911173722.0,914748588.0,918181600.0,921212388.0,923384672.0
Ecuador,ECU,16195902.0,16439585.0,16696944.0,17015672.0,17343740.0,17588595.0
"Egypt, Arab Rep.",EGY,97723799.0,99784030.0,101789386.0,103740765.0,105618671.0,107465134.0
Euro area,EMU,343718279.0,344683796.0,345370612.0,346153001.0,346517987.0,346961127.0
Eritrea,ERI,3340006.0,3365287.0,3396933.0,3445374.0,3498818.0,3555868.0
Spain,ESP,46444832.0,46484062.0,46593236.0,46797754.0,47134837.0,47365655.0
Estonia,EST,1315407.0,1315790.0,1317384.0,1321977.0,1326898.0,1329522.0
Ethiopia,ETH,102471895.0,105293228.0,108197950.0,111129438.0,114120594.0,117190911.0
European Union,EUU,444570054.0,445515422.0,446215182.0,447001100.0,447367191.0,447692315.0
Fragile and conflict affected situations,FCS,876449625.0,896306261.0,916477490.0,936789597.0,957873862.0,979839336.0
Finland,FIN,5479531.0,5495303.0,5508214.0,5515525.0,5521606.0,5529543.0
Fiji,FJI,917200.0,918371.0,919019.0,918996.0,918465.0,920422.0
France,FRA,66548272.0,66724104.0,66918020.0,67158348.0,67388001.0,67571107.0
