IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,Substance,fossil_bio,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.1.a,Main Activity Electricity and Heat Production,CH4,fossil,0.001772097,0.001772097,0.002251607,0.003031167,0.008876533,0.009719425,0.007377825,0.005106961,0.007358089,0.008881433,0.00825776,0.00879854,0.008398719,0.006973805,0.006067069,0.005305954,0.007390744,0.00754663,0.01234397,0.012550509,0.015056264,0.011535765,0.013257957,0.013286663,0.013208562,0.013684857,0.010463867,0.011212137,0.010577249,0.013225079,0.013225079,0.010039367,0.010735858,0.011198358,0.013719185,0.012613105,0.009639884,0.008153271,0.007796449,0.006954037,0.004195547,0.009416828,0.007078227,0.022871779,0.031260433,0.032046559,0.027018798,0.031979653,0.035604521,0.030093416,0.023722499,0.02800045,0.03676842
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.2,Manufacturing Industries and Construction,CH4,fossil,0.000839383,0.000839383,0.001491014,0.002378612,0.003502179,0.006041596,0.016132033,0.030941872,0.029177506,0.031716922,0.035615833,0.044526431,0.0429872,0.042863778,0.047046913,0.050597308,0.050956697,0.051316103,0.054627757,0.052753287,0.047749659,0.047326354,0.055045162,0.052069192,0.045626361,0.036788141,0.050900952,0.049571168,0.092293884,0.078589165,0.075856441,0.085628252,0.09301056,0.073690766,0.051706793,0.079983214,0.086612109,0.105511702,0.096746158,0.089233585,0.036073032,0.038416133,0.044278035,0.050819757,0.05270047,0.044913062,0.04050027,0.041419913,0.045168548,0.043309461,0.038272844,0.041495533,0.049955401
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.3.a,Civil Aviation,CH4,fossil,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,2.24E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,8.96E-05,4.48E-05,2.24E-05,2.24E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,8.96E-05,4.48E-05,8.96E-05,8.96E-05,8.96E-05,4.48E-05,6.72E-05,6.72E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.48E-05,4.28E-05,2.92E-05,3.10E-05,1.01E-05,1.17E-05,1.45E-05
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.3.b_noRES,Road Transportation no resuspension,CH4,fossil,0.012446285,0.01246566,0.014592908,0.015724137,0.020995681,0.023923817,0.028274601,0.032491118,0.036885477,0.041669318,0.0526137,0.059533205,0.066436791,0.074034912,0.082372097,0.087381366,0.100319718,0.119842534,0.129059706,0.149676782,0.177202169,0.198551722,0.228214188,0.239071976,0.237535258,0.266980468,0.266445743,0.280490887,0.300769643,0.322431204,0.34611071,0.386859394,0.398873552,0.425291415,0.423137875,0.429691945,0.457172596,0.466752915,0.527359122,0.502119046,0.518084658,0.533428594,0.520189138,0.536102862,0.541376325,0.600659444,0.622101254,0.633251092,0.65419287,0.64424794,0.595559808,0.595559808,0.649701609
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.3.c,Railways,CH4,fossil,0.000359389,0.000359389,0.000359389,0.000539084,0.000539084,0.000539084,0.000539084,0.000539084,0.000718778,0.000898473,0.001078167,0.001078167,0.001078167,0.001078167,0.001078167,0.001078167,0.001257862,0.001257862,0.001437556,0.001617251,0.00197664,0.00197664,0.002156334,0.001796945,0.001617251,0.002156334,0.002156334,0.002515723,0.002695418,0.002875113,0.002515723,0.003054807,0.000718778,0.000718778,0.000359389,0.001078167,0.001257862,0.001437556,0.001437556,0.001257862,0.001437556,0.001437556,0.001437556,0.001617251,0.001617251,0.001437556,0.001257862,0.001266132,0.001430189,0.001299023,0.001115194,0.001115194,0.001216575
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.4,Residential and other sectors,CH4,fossil,0.002574395,0.002574395,0.002574395,0.00319207,0.00319207,0.00319207,0.00319207,0.00319207,0.003371764,0.003551459,0.003731154,0.004146816,0.004146816,0.004636612,0.004996001,0.019592104,0.020625987,0.020941112,0.022048584,0.033276987,0.041030563,0.054970011,0.049829768,0.045623626,0.031784894,0.02182745,0.057222649,0.028872535,0.060375628,0.039378724,0.046326906,0.042127728,0.044083379,0.032893462,0.080694968,0.052567736,0.053618451,0.085016643,0.052835002,0.053068293,0.054924989,0.054175448,0.056999969,0.056328673,0.058785217,0.04991695,0.047758761,0.048005068,0.049623864,0.049362832,0.048743683,0.056554243,0.073056351
Non-Annex_I,Southern_Africa,BWA,Botswana,1.A.5,Non-Specified,CH4,fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205293457,,,0.254847986,0.057065319,0.212805497,0.000432999,0.000432999,0.000432999,0.000432999,0.000432999,0.000432999,0.000432999,0.000436013,0.000492744,0.000447736,0.000384516,0.000384516,0.000419472
Non-Annex_I,Southern_Africa,BWA,Botswana,1.B.1,Solid Fuels,CH4,fossil,,,0.112306134,0.280767899,0.46326785,0.996724642,3.144597268,4.127286038,4.40805401,4.983627857,5.208240142,5.34862558,5.825929446,5.545161475,5.517084503,6.134773808,6.878809193,6.836694607,8.549375919,9.30745008,11.14647805,11.0060961,12.64858528,12.49416222,12.63454766,12.60647127,10.71128994,10.90782467,13.02762178,13.266274,13.29435155,13.05569817,13.37858072,11.55359094,12.81704711,13.82780994,13.50492739,11.62378483,12.77492961,10.3603275,13.86992511,11.06224888,20.65046577,21.00142588,24.03371788,29.27003267,26.35005088,31.16013392,34.84765402,29.63350242,26.50434496,27.84370834,28.14243984
Non-Annex_I,Southern_Africa,BWA,Botswana,3.A.1,Enteric Fermentation,CH4,fossil,78.44513,81.575055,95.274544,99.46502,109.53272,120.944,133.3945,143.441,133.4742,130.9609,133.7426,134.92072,134.39808,127.08754,120.859772,111.71492,108.90808,108.193652,117.388268,125.52088,136.0273,113.4494,102.5589,92.34442,103.211,125.382,112.06052,113.13672,116.991,126.09042,126.836,121.1326,99.9785118,99.3772,101.3465,106.6565,107.838,107.2631743,111.2160533,119.9318145,130.2907074,125.5089541,110.5404016,102.9100329,81.0087831,85.160863,75.315745,56.476703,57.019161,49.397626,54.465587,48.3265318,43.08312468
Non-Annex_I,Southern_Africa,BWA,Botswana,3.A.2,Manure Management,CH4,fossil,1.9597578,2.03575405,2.33479657,2.39573,2.60933,2.84298,3.13704,3.37626,3.170653,3.134468,3.219683,3.275363,3.302575,3.168047,3.049339,2.885469,2.79723,2.760426,2.967375,3.13972,3.358501,2.93571,2.68873,2.457454,2.754732,3.42312,3.06015,3.11245,3.17451,3.37412,3.40087,3.27306,2.77193,2.73672,2.79412,2.93662,2.97437,2.92725543,3.05650727,3.28325207,3.43328148,3.31984591,2.92035257,2.7524695,2.17904747,2.22150904,2.01482602,1.5095676,1.53207277,1.37179499,1.4795583,1.331168152,1.203856269
