Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,FUR LNLG,FUR LNLGIS,FUR LNLGOGIS
ATG,2016,-0.115648,0.155124,-0.0418484,0.1117,-0.0919348,0.0832059,0.065841,0.219299,-0.0789573,0.155124,-0.00515747,0.1117,-0.0552439,0.0832059,0.102532,0.219299,0.42766,0.146973,0.501459,0.100071,0.451373,0.0667879,0.609149,0.21361,-2.41906e-06,4.83813e-06,0.0366933,0.011008,0.506617,0.0496247,0.37,0.05,-0.09,0.0,-0.01
ATG,2017,-0.147019,0.13085,-0.173254,0.150422,-0.189535,0.148541,-0.0243908,0.21617,-0.110328,0.13085,-0.136564,0.150422,-0.152844,0.148541,0.0123001,0.21617,0.396116,0.121075,0.36988,0.142001,0.3536,0.140007,0.518744,0.210397,-2.4421e-06,4.88421e-06,0.0366933,0.011008,0.506444,0.0496247,-0.18,0.05,-0.09,0.0,-0.01
ATG,2018,-0.214715,0.158657,-0.216961,0.137417,-0.220993,0.129009,0.088835,0.220304,-0.178022,0.158657,-0.180269,0.137417,-0.1843,0.129009,0.125527,0.220304,0.338782,0.150697,0.336535,0.128143,0.332504,0.119083,0.642332,0.214642,-9.10029e-07,1.82006e-06,0.0366933,0.011008,0.516804,0.0496247,-0.01,0.05,-0.09,0.0,-0.01
ATG,2019,-0.13033,0.141409,-0.172936,0.129914,-0.151914,0.118314,0.0888359,0.192123,-0.0936386,0.141409,-0.136245,0.129914,-0.115222,0.118314,0.125527,0.192123,0.435786,0.132826,0.39318,0.120516,0.414202,0.10791,0.654952,0.185897,-1.80278e-06,3.60556e-06,0.0366933,0.011008,0.529424,0.0485137,-0.31,0.05,-0.09,0.0,-0.01
ATG,2020,-0.179464,0.163102,-0.105658,0.106099,-0.105468,0.120207,0.0884699,0.107654,-0.142773,0.163102,-0.0689661,0.106099,-0.068777,0.120207,0.125161,0.107654,0.33227,0.155719,0.406077,0.0943584,0.406266,0.109983,0.600204,0.0961035,-1.89839e-06,3.79678e-06,0.0366933,0.011008,0.475043,0.0485137,0.45,0.05,-0.09,0.0,-0.01
ATG,mean,-0.115198,0.132827,-0.173984,0.138768,-0.153805,0.116214,0.088714,0.149662,-0.0785069,0.132371,-0.137293,0.138331,-0.117114,0.115691,0.125405,0.149257,0.428586,0.12294,0.369801,0.129336,0.389979,0.104769,0.632499,0.14096,-1.89839e-06,3.79678e-06,0.0366933,0.011008,0.507093,0.0490692,-0.37,0.05,-0.09,0.0,-0.01
AUS,2015,719.106,486.008,-292.026,530.202,-128.567,557.277,105.532,368.055,616.212,486.008,-394.921,530.202,-231.461,557.277,2.63816,368.055,1005.39,485.953,-5.74213,530.152,157.717,557.229,391.817,367.982,-50.398,19.1657,-52.4963,-15.7489,389.178,7.30224,-1.41,0.45,0.66,0.73,0.78
AUS,2016,179.542,581.492,-1607.43,607.248,-1030.11,763.911,-973.068,460.648,79.9587,581.492,-1707.02,607.248,-1129.69,763.911,-1072.65,460.648,476.149,581.446,-1310.83,607.203,-733.502,763.876,-676.461,460.589,-47.0871,12.5438,-52.4963,-15.7489,396.191,7.38313,-2.03,0.45,0.66,0.73,0.78
AUS,2017,205.609,314.379,-588.154,696.563,-649.417,657.903,-538.624,447.937,92.0558,314.379,-701.706,696.563,-762.97,657.903,-652.176,447.937,483.743,314.294,-310.019,696.525,-371.282,657.862,-260.489,447.877,-61.0564,40.4825,-52.4963,-15.7489,391.688,7.32475,-1.25,0.45,0.66,0.73,0.78
AUS,2018,452.427,426.042,156.274,540.692,400.003,654.311,324.421,297.023,336.251,426.042,40.0982,540.692,283.827,654.311,208.245,297.023,728.241,425.979,432.088,540.643,675.816,654.27,600.234,296.933,-63.6797,45.7292,-52.4963,-15.7489,391.99,7.32475,-1.1,0.45,0.66,0.73,0.78
AUS,2019,398.353,376.724,729.143,425.486,542.135,853.641,757.721,399.615,291.631,376.724,622.421,425.486,435.414,853.641,651.0,399.615,698.737,376.653,1029.53,425.423,842.519,853.61,1058.11,399.548,-54.2248,26.8192,-52.4963,-15.7489,407.105,7.30224,0.58,0.45,0.66,0.73,0.78
AUS,2020,-4.65962,646.899,-156.263,506.529,76.7129,739.777,-277.637,361.801,-112.445,646.899,-264.048,506.529,-31.0726,739.777,-385.423,361.801,258.815,646.857,107.211,506.477,340.187,739.741,-14.1629,361.728,-55.2892,28.9481,-52.4963,-15.7489,371.26,7.30224,-0.57,0.45,0.66,0.73,0.78
AUS,mean,240.961,438.395,-258.296,500.938,-108.477,440.286,-58.0753,263.321,133.176,437.155,-366.081,499.853,-216.263,439.05,-165.861,261.251,524.411,437.094,25.1539,499.799,174.973,438.989,225.374,261.148,-55.2892,28.9481,-52.4963,-15.7489,391.235,7.32323,-1.28,0.45,0.66,0.73,0.78
AUT,2015,-23.0387,38.4443,-29.9571,39.038,-27.4236,31.1847,-40.2049,31.8934,-22.7379,38.4443,-29.6563,39.038,-27.1228,31.1847,-39.9041,31.8934,47.3476,38.4253,40.4292,39.0193,42.9627,31.1613,30.1814,31.8705,-3.05242,0.268871,3.35319,1.00596,70.0855,1.20758,-0.15,0.38,0.34,0.5,0.45
AUT,2016,-37.5035,32.8571,-49.8831,21.2414,-30.8194,26.8105,-59.9924,44.3656,-37.1411,32.8571,-49.5207,21.2414,-30.457,26.8105,-59.63,44.3656,33.9577,32.8348,21.5781,21.2067,40.6419,26.783,11.4689,44.349,-2.99076,0.392192,3.35319,1.00596,71.0988,1.21286,-0.3,0.38,0.34,0.5,0.45
