Alpha 3 Code,Year,IS dC_loss (TgCO2),IS dC_loss unc (TgCO2),IS NBE (TgCO2),IS NBE unc (TgCO2),IS NCE (TgCO2),IS NCE unc (TgCO2),Rivers (TgCO2),River unc (TgCO2),Wood+Crop (TgCO2),Wood+Crop unc (TgCO2),FF (TgCO2),FF unc (TgCO2),Z-statistic,FUR IS,Experiment,LNLG dC_loss (TgCO2),LNLG dC_loss unc (TgCO2),LNLG NBE (TgCO2),LNLG NBE unc (TgCO2),LNLG NCE (TgCO2),LNLG NCE unc (TgCO2),FUR LNLG,LNLGIS dC_loss (TgCO2),LNLGIS dC_loss unc (TgCO2),LNLGIS NBE (TgCO2),LNLGIS NBE unc (TgCO2),LNLGIS NCE (TgCO2),LNLGIS NCE unc (TgCO2),FUR LNLGIS,LNLGOGIS dC_loss (TgCO2),LNLGOGIS dC_loss unc (TgCO2),LNLGOGIS NBE (TgCO2),LNLGOGIS NBE unc (TgCO2),LNLGOGIS NCE (TgCO2),LNLGOGIS NCE unc (TgCO2),FUR LNLGOGIS
AGO,2017,,,,,,,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,,LNLGIS,,,,,,,,-458.853,434.707,-475.523,434.707,-459.857,434.69,0.72,,,,,,,
AGO,2017,,,,,,,-21.9999,8.72909,5.32926,1.59878,15.6662,3.78888,-2.88,,LNLGOGIS,,,,,,,,,,,,,,,-223.45,385.472,-240.12,385.472,-224.454,385.454,0.71
AGO,2018,83.9213,169.413,67.2801,169.413,83.4183,169.371,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2018,,,,,,,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,,LNLG,-295.996,129.999,-312.638,129.999,-296.499,129.944,0.69,,,,,,,,,,,,,,
AGO,2018,,,,,,,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,,LNLGIS,,,,,,,,-213.561,159.827,-230.202,159.827,-214.064,159.782,0.72,,,,,,,
AGO,2018,,,,,,,-21.9705,8.78776,5.32926,1.59878,16.1382,3.78888,-1.84,,LNLGOGIS,,,,,,,,,,,,,,,-99.6736,281.082,-116.315,281.082,-100.177,281.057,0.71
AGO,2019,256.044,161.576,238.221,161.576,254.774,161.539,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2019,,,,,,,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,,LNLG,-43.6428,294.548,-61.4659,294.548,-44.9125,294.528,0.69,,,,,,,,,,,,,,
AGO,2019,,,,,,,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,,LNLGIS,,,,,,,,-36.8403,302.787,-54.6634,302.787,-38.11,302.767,0.72,,,,,,,
AGO,2019,,,,,,,-23.1523,6.42412,5.32926,1.59878,16.5534,3.43854,-1.31,,LNLGOGIS,,,,,,,,,,,,,,,138.826,348.949,121.003,348.949,137.557,348.932,0.71
AGO,2020,98.4686,137.005,82.026,137.005,97.3307,136.962,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,2020,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,,LNLG,-329.843,174.964,-346.286,174.964,-330.981,174.93,0.69,,,,,,,,,,,,,,
AGO,2020,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,,LNLGIS,,,,,,,,-390.581,232.291,-407.023,232.291,-391.719,232.266,0.72,,,,,,,
AGO,2020,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.3048,3.43854,-1.72,,LNLGOGIS,,,,,,,,,,,,,,,-132.201,109.911,-148.644,109.911,-133.339,109.857,0.71
AGO,mean,155.08,148.47,138.637,148.177,154.205,148.134,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,0.18,IS,,,,,,,,,,,,,,,,,,,,,
AGO,mean,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,,LNLG,-289.308,228.876,-305.751,228.686,-290.183,228.658,0.69,,,,,,,,,,,,,,
AGO,mean,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,,LNLGIS,,,,,,,,-270.371,190.959,-286.814,190.732,-271.246,190.698,0.72,,,,,,,
AGO,mean,,,,,,,-21.7719,9.1849,5.32926,1.59878,15.5677,3.55711,-2.51,,LNLGOGIS,,,,,,,,,,,,,,,-134.552,200.199,-150.994,199.982,-135.426,199.95,0.71
